Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
3sigma,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.5,-14.681897906885519,41,1536,85,176,1838
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.5,-278.3858180290921,496,12185,1379,1092,15152
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.5,-54.83852276868807,148,13220,281,1432,15081
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.5,-110.72747941209705,222,13010,549,1371,15152
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.5,-702.444602587787,474,10249,3328,1052,15103
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.5,-133.5322122965143,126,12850,651,1456,15083
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.5,-133.96739402644334,199,12994,666,1233,15092
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.5,-138.9385901558347,147,12887,666,1443,15143
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.5,-186.95901100887409,230,12612,902,1357,15101
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.5,-180.36776908151808,206,12639,881,1382,15108
3sigma,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.5,-395.36358623301413,516,11648,1883,1069,15116
Totals,,,,-7777.442842594912,6902,262276,37071,26593,332842
